26982984, 1969737137
50374528, 1830398244
255551822, 1984495598
56270982, 2022903948
58789787, 1627480545
640560872, 1680860763
172091264, 1903197901
58085964, 2141959261
32926906, 1407071155
88152949, 2012497574
78362927, 1840344017
511020613, 1559349329
796845327, 2100080396
82805262, 2140211736
457457766, 1863772342
817763943, 2126247208
719584309, 1958611629
17976813, 1649662674
46274230, 2027472324
15491818, 1893557073
545563943, 1571243290
31871146, 2134571151
138074146, 1921659151
311840512, 1627534094
276187284, 1984149312
60260084, 2098484181
119159758, 1638752549
36710352, 2134346510
256341670, 1969915311
212509248, 1942928775
461264685, 1692531250
551845765, 1995717958
160693170, 1807173604
50420167, 1833819699
856050303, 2040499339
150678701, 1662965823
926540676, 2007868026
11063079, 1917168231
61242047, 2142865330
102695309, 1782503344
253406166, 2022371280
395332112, 1227092444
343112017, 1539135159
944364950, 2070147621
222114886, 2133382733
40749697, 2030900794
